Old Table Name,Old Column Name,Reason
GDB_ColumnInfo,TableName,No corresponding sheet (expected 'NMAquifer_{old table name}')
GDB_ColumnInfo,FieldName,No corresponding sheet (expected 'NMAquifer_{old table name}')
GDB_ColumnInfo,columnFlags,No corresponding sheet (expected 'NMAquifer_{old table name}')
GROUNDWATER_LEVELS,OBJECTID,No corresponding sheet (expected 'NMAquifer_{old table name}')
GROUNDWATER_LEVELS,PointID,No corresponding sheet (expected 'NMAquifer_{old table name}')
GROUNDWATER_LEVELS,DataReliability,No corresponding sheet (expected 'NMAquifer_{old table name}')
GROUNDWATER_LEVELS,Easting,No corresponding sheet (expected 'NMAquifer_{old table name}')
GROUNDWATER_LEVELS,Northing,No corresponding sheet (expected 'NMAquifer_{old table name}')
GROUNDWATER_LEVELS,Altitude,No corresponding sheet (expected 'NMAquifer_{old table name}')
GROUNDWATER_LEVELS,HoleDepth,No corresponding sheet (expected 'NMAquifer_{old table name}')
GROUNDWATER_LEVELS,WellDepth,No corresponding sheet (expected 'NMAquifer_{old table name}')
GROUNDWATER_LEVELS,StaticWater,No corresponding sheet (expected 'NMAquifer_{old table name}')
GROUNDWATER_LEVELS,CasingDiameter,No corresponding sheet (expected 'NMAquifer_{old table name}')
GROUNDWATER_LEVELS,FormationZone,No corresponding sheet (expected 'NMAquifer_{old table name}')
GROUNDWATER_LEVELS,MinOfScreenTop,No corresponding sheet (expected 'NMAquifer_{old table name}')
GROUNDWATER_LEVELS,MaxOfScreenBottom,No corresponding sheet (expected 'NMAquifer_{old table name}')
GROUNDWATER_LEVELS,DateMeasued,No corresponding sheet (expected 'NMAquifer_{old table name}')
GROUNDWATER_LEVELS,DepthToWaterBGS,No corresponding sheet (expected 'NMAquifer_{old table name}')
GROUNDWATER_LEVELS,MeasurementMethod,No corresponding sheet (expected 'NMAquifer_{old table name}')
GROUNDWATER_LEVELS,LevelStatus,No corresponding sheet (expected 'NMAquifer_{old table name}')
GROUNDWATER_LEVELS,MeasuringAgency,No corresponding sheet (expected 'NMAquifer_{old table name}')
GROUNDWATER_LEVELS,Shape,No corresponding sheet (expected 'NMAquifer_{old table name}')
HydraulicsData,WellID,No corresponding sheet (expected 'NMAquifer_{old table name}')
HydraulicsData,PointID,No corresponding sheet (expected 'NMAquifer_{old table name}')
HydraulicsData,HydraulicUnit,No corresponding sheet (expected 'NMAquifer_{old table name}')
HydraulicsData,TestTop,No corresponding sheet (expected 'NMAquifer_{old table name}')
HydraulicsData,TestBottom,No corresponding sheet (expected 'NMAquifer_{old table name}')
HydraulicsData,HydraulicUnitType,No corresponding sheet (expected 'NMAquifer_{old table name}')
